dye batch 5_10_A,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,MOAT,Jar,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,1,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.38718049,7.394716005,-0.097,-0.104,-0.011,0.596,0.257,-0.006,0.51744186,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.508923778,-0.005
2,1,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.366882572,7.374864722,-0.065,-0.086,-0.004,0.57,0.227,-0.007,0.495297806,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.486658774,0.003
3,2,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.670657308,7.673663121,-0.083,-0.088,0.005,0.472,0.44,0.005,0.951351351,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.945203242,0
4,2,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.674651214,7.677611211,-0.09,-0.104,-0.017,0.457,0.421,-0.013,0.959484346,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.953380659,-0.004
5,3,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.679102616,7.682012014,-0.086,-0.087,0.007,0.426,0.409,0.009,0.968627451,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.962573702,-0.002
6,3,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.689655279,7.692446649,-0.089,-0.086,0.013,0.448,0.446,0.016,0.990636704,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.984703168,-0.003
7,4,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.313378905,7.32263962,-0.061,-0.074,0.016,0.598,0.218,0.018,0.441400304,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.43246689,-0.002
8,4,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.287181067,7.297125492,-0.079,-0.084,0.01,0.527,0.17,0.012,0.417218543,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.40815305,-0.002
9,5,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.289782646,7.299657381,-0.074,-0.086,0.003,0.553,0.173,-0.004,0.41955836,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.410505647,0.007
10,5,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.335177391,7.343898776,-0.071,-0.088,-0.001,0.657,0.252,0.005,0.462603878,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.453786276,-0.006
11,6,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.664668072,7.667743337,-0.078,-0.085,0.004,0.449,0.41,0.004,0.939278937,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.93306489,0
12,6,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.623569383,7.627146392,-0.064,-0.076,0.006,0.437,0.356,0.013,0.860323887,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.853678594,-0.007
13,7,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.608680178,7.612450338,-0.074,-0.077,0.011,0.408,0.325,0.013,0.833333333,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.826540621,-0.002
14,7,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.609358792,7.613120011,-0.074,-0.082,0.006,0.478,0.379,0.008,0.834545455,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.827759362,-0.002
15,8,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.331366141,7.340179948,-0.08,-0.083,0.008,0.519,0.194,0.012,0.458823529,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.449985279,-0.004
16,8,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.312869857,7.322143482,-0.095,-0.104,-0.016,0.469,0.143,-0.019,0.440917108,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.431981054,0.003
17,9,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.663887422,7.666971806,-0.066,-0.08,0.004,0.513,0.463,0.005,0.937716263,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.93149368,-0.001
18,9,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.657341323,7.660502784,-0.092,-0.087,0.009,0.426,0.392,0.009,0.924710425,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.918416805,0
19,10,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.35218356,7.36050196,-0.089,-0.088,0.008,0.479,0.183,0.005,0.479859895,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.471136543,0.003
20,10,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.362619174,7.370697724,-0.068,-0.084,0.002,0.58,0.233,0,0.490769231,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.482105465,0.002
21,11,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.362999725,7.371069633,-0.076,-0.083,0.01,0.558,0.234,0.021,0.49117175,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.482510182,-0.011
22,11,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.380185274,7.387872441,-0.091,-0.099,-0.006,0.481,0.195,-0.001,0.509700176,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.50113981,-0.005
23,12,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.622527004,7.626117331,-0.091,-0.109,-0.025,0.475,0.377,-0.024,0.85840708,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.851751318,-0.001
24,12,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.641606871,7.644958141,-0.066,-0.072,0.021,0.567,0.494,0.021,0.894154818,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.887694307,0
25,13,,11:00 AM,28-Nov-16,25,28.27,0.00095,7.624127459,7.62769735,-0.082,-0.087,0.004,0.495,0.41,0.004,0.86135182,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.854712142,0
