dye batch 11_15_A,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,MOAT,Jar,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,13,C7,,22-Nov-16,25,28.27,0.00095,7.215123387,7.229177146,-0.095,0,0.008,0.481,0.184,0.012,0.314685315,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.305059795,-0.004
3,12,C7,,22-Nov-16,25,28.27,0.00095,7.737212402,7.740139253,-0.046,-0.061,0.026,0.508,0.474,0.03,0.965454545,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.959383467,-0.004
4,1,C7,,22-Nov-16,25,28.27,0.00095,7.451199355,7.458641343,-0.092,-0.104,-0.015,0.493,0.203,-0.012,0.52233677,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.513845423,-0.003
5,12,A7,,22-Nov-16,25,28.27,0.00095,7.73326661,7.736238438,-0.056,-0.083,-0.002,0.508,0.457,-0.001,0.957371226,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.951255996,-0.001
6,11,C7,,22-Nov-16,25,28.27,0.00095,7.396239188,7.404926535,-0.056,-0.069,0.021,0.6,0.237,0.024,0.464012251,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.455202341,-0.003
7,2,A7,,22-Nov-16,25,28.27,0.00095,7.747114192,7.749929848,-0.085,-0.089,0.007,0.418,0.407,0.009,0.986027944,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.980069235,-0.002
8,11,A7,,22-Nov-16,25,28.27,0.00095,7.420935953,7.429044835,-0.079,-0.082,0.016,0.529,0.214,0.013,0.489361702,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.480690248,0.003
9,10,C7,,22-Nov-16,25,28.27,0.00095,7.41806849,7.426242919,-0.069,-0.076,0.016,0.516,0.208,0.015,0.486348123,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.477660209,0.001
10,2,C7,,22-Nov-16,25,28.27,0.00095,7.717869346,7.721020405,-0.076,-0.082,0.012,0.496,0.448,0.013,0.926444834,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.920160687,-0.001
11,10,A7,,22-Nov-16,25,28.27,0.00095,7.433065025,7.440901229,-0.064,-0.067,0.027,0.577,0.252,0.021,0.502318393,8.079415,0.0069,2.222,0.133,11.94137039,-5.749375923,0.493717707,0.006
