"","MOATS","Date","pH","NewDate","Treatment","pHinSitu"
"74","8","28-Nov-16",7.331366141,2016-11-28,"Low",7.5165764799802
"75","8","28-Nov-16",7.312869857,2016-11-28,"Low",7.49625941819725
"76","8","30-Nov-16",7.325255605,2016-11-30,"Low",7.50986221924008
"77","8","30-Nov-16",7.346481234,2016-11-30,"Low",7.53319240512996
"78","9","22-Nov-16",7.724852818,2016-11-22,"High",7.94362486858079
"79","9","22-Nov-16",7.725430151,2016-11-22,"High",7.94423554643926
"80","9","24-Nov-16",7.652712872,2016-11-24,"High",7.86690374461064
"81","9","24-Nov-16",7.654116562,2016-11-24,"High",7.86840461969314
"82","9","26-Nov-16",7.667710232,2016-11-26,"High",7.88292269339734
"83","9","26-Nov-16",7.669510915,2016-11-26,"High",7.88484355466599
"84","9","28-Nov-16",7.663887422,2016-11-28,"High",7.87884298821974
"85","9","28-Nov-16",7.657341323,2016-11-28,"High",7.87185141961822
"86","9","30-Nov-16",7.672356193,2016-11-30,"High",7.88787764770057
"87","9","30-Nov-16",7.639328407,2016-11-30,"High",7.85257628007706
"88","10","22-Nov-16",7.41806849,2016-11-22,"Low",7.61192799456209
"89","10","22-Nov-16",7.433065025,2016-11-22,"Low",7.62840655207301
"90","10","24-Nov-16",7.360837277,2016-11-24,"Low",7.54898104995189
"91","10","24-Nov-16",7.347857808,2016-11-24,"Low",7.53470610021659
"92","10","26-Nov-16",7.338778251,2016-11-26,"Low",7.52472337573368
"93","10","26-Nov-16",7.369888818,2016-11-26,"Low",7.55893794918767
"94","10","28-Nov-16",7.35218356,2016-11-28,"Low",7.53946312371821
"95","10","28-Nov-16",7.362619174,2016-11-28,"Low",7.55094108671581
"96","10","30-Nov-16",7.366316545,2016-11-30,"Low",7.55500824536903
"97","10","30-Nov-16",7.36989328,2016-11-30,"Low",7.55894285771571
"98","11","22-Nov-16",7.396239188,2016-11-22,"Low",7.58792470957058
"99","11","22-Nov-16",7.420935953,2016-11-22,"Low",7.61507970501621
"100","11","24-Nov-16",7.362166883,2016-11-24,"Low",7.55044357425886
"101","11","24-Nov-16",7.363841681,2016-11-24,"Low",7.55228583976666
"102","11","26-Nov-16",7.386001682,2016-11-26,"Low",7.57666355067307
"103","11","26-Nov-16",7.376714354,2016-11-26,"Low",7.56644666743679
"104","11","28-Nov-16",7.362999725,2016-11-28,"Low",7.55135968891199
"105","11","28-Nov-16",7.380185274,2016-11-28,"Low",7.57026502922297
"106","11","30-Nov-16",7.331405331,2016-11-30,"Low",7.51661954821531
"107","11","30-Nov-16",7.339299899,2016-11-30,"Low",7.52529682784938
"108","12","22-Nov-16",7.737212402,2016-11-22,"High",7.95668724775633
"109","12","22-Nov-16",7.73326661,2016-11-22,"High",7.95251959709818
"110","12","24-Nov-16",7.639272836,2016-11-24,"High",7.85251673220539
"111","12","24-Nov-16",7.641814618,2016-11-24,"High",7.8552398921747
"112","12","26-Nov-16",7.699084644,2016-11-26,"High",7.91631579779253
"113","12","26-Nov-16",7.636073629,2016-11-26,"High",7.84908771839561
"114","12","28-Nov-16",7.622527004,2016-11-28,"High",7.83454929854977
