"","Average pH","Standard Deviation"
"1",7.409953323875,0.0370365596909233
"2",7.6905359166,0.0329957487143834
"3",7.7083872686,0.0237098145240364
"4",7.3264607328,0.0272612407451497
"5",7.3262964787,0.0448963813704722
"6",7.66300384922222,0.039447288824096
"7",7.6279349362,0.0335177950924412
"8",7.3513636447,0.0286997406027345
"9",7.6727246895,0.0292643290037099
"10",7.3719508228,0.0301556029456988
"11",7.371978997,0.0263080243950307
"12",7.6653960148,0.0418789248907259
"13",7.43779371285714,0.227859699471095
