experiment,unit,unit_number,date,pH,temp
Juvenile,Tank,2,01/04/19,7.17,9.4
Juvenile,Tank,2,01/05/19,7.22,9.4
Juvenile,Tank,2,01/06/19,7.19,9.5
Juvenile,Tank,2,01/07/19,7.21,9.2
Juvenile,Tank,2,01/08/19,7.18,9.3
Juvenile,Tank,2,01/09/19,7.22,9.5
Juvenile,Tank,2,01/10/19,7.21,9.6
Juvenile,Tank,2,01/11/19,7.14,9.8
Juvenile,Tank,2,01/12/19,7.15,9.5
Juvenile,Tank,2,01/13/19,7.17,9.2
Juvenile,Tank,2,01/14/19,7.2,9.2
Juvenile,Tank,2,01/15/19,7.16,9
Juvenile,Tank,2,01/16/19,7.22,9
Juvenile,Tank,2,01/17/19,7.24,9.2
Juvenile,Tank,2,01/18/19,7.14,9.3
Juvenile,Tank,2,01/19/19,7.24,9.2
Juvenile,Tank,2,01/20/19,7.18,9.2
Juvenile,Tank,2,01/21/19,7.15,9.4
Juvenile,Tank,2,01/22/19,7.18,9.4
Juvenile,Tank,2,01/23/19,7.17,9.3
Juvenile,Tank,2,01/24/19,7.23,9.2
Juvenile,Tank,2,01/25/19,7.17,9.3
Juvenile,Tank,2,01/26/19,7.2,9.2
Juvenile,Tank,2,01/27/19,7.22,9.1
Juvenile,Tank,2,01/28/19,7.14,9.1
Juvenile,Tank,2,01/29/19,7.14,9.2
Juvenile,Tank,2,01/30/19,7.21,9.1
Juvenile,Tank,2,01/31/19,7.21,9.3
Juvenile,Tank,2,02/01/19,7.21,9.4
Juvenile,Tank,2,02/03/19,7.21,9
Juvenile,Tank,2,02/04/19,7.21,8.8
Juvenile,Tank,2,02/05/19,7.21,8.9
Juvenile,Tank,2,02/06/19,7.22,8.9
Juvenile,Tank,2,02/07/19,7.77,8.4
Juvenile,Tank,2,02/08/19,7.17,8.5
Juvenile,Tank,2,02/11/19,7.22,8.8
Juvenile,Tank,2,02/12/19,7.23,8.9
Juvenile,Tank,2,02/13/19,7.22,8.3
Juvenile,Tank,2,02/14/19,7.2,8.3
Juvenile,Tank,2,02/15/19,7.18,8.9
Juvenile,Tank,2,02/16/19,7.2,8.7
Juvenile,Tank,2,02/17/19,7.19,8.4
Juvenile,Tank,2,02/18/19,7.22,8.7
Juvenile,Tank,2,02/19/19,7.19,8.7
Juvenile,Tank,2,02/20/19,7.12,8.5
Juvenile,Tank,2,02/21/19,7.24,8.6
Juvenile,Tank,2,02/22/19,7.13,8.7
Juvenile,Tank,2,02/23/19,7.2,8.7
Juvenile,Tank,2,02/24/19,7.17,8.5
Juvenile,Tank,2,02/25/19,7.09,8.3
Juvenile,Tank,2,02/26/19,7.25,8.3
Juvenile,Tank,2,02/27/19,7.24,8.4
Juvenile,Tank,2,03/01/19,7.12,8.7
Juvenile,Tank,2,03/02/19,7.06,8.5
Juvenile,Tank,2,03/03/19,7.03,8.5
Juvenile,Tank,2,03/04/19,7.08,8
Juvenile,Tank,2,03/05/19,7.22,8.4
Juvenile,Tank,2,03/06/19,7.21,8.1
Juvenile,Tank,2,03/07/19,7.1,8.6
Juvenile,Tank,2,03/08/19,7.23,8.1
Juvenile,Tank,2,03/09/19,6.98,7.6
