"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
81,04/02/19 11:35:49 PM,11.47,8.86,0.00,0.0,,,,
82,04/02/19 11:45:49 PM,11.47,8.86,0.00,0.0,,,,
83,04/02/19 11:55:49 PM,11.48,8.86,0.00,0.0,,,,
84,04/03/19 12:05:49 AM,11.48,8.86,0.00,0.0,,,,
85,04/03/19 12:15:49 AM,11.48,8.86,0.00,0.0,,,,
86,04/03/19 12:25:49 AM,11.48,8.86,0.00,0.0,,,,
87,04/03/19 12:35:49 AM,11.48,8.84,0.00,0.0,,,,
88,04/03/19 12:45:49 AM,11.48,8.84,0.00,0.0,,,,
89,04/03/19 12:55:49 AM,11.48,8.82,0.00,0.0,,,,
90,04/03/19 01:05:49 AM,11.50,8.82,0.00,0.0,,,,
91,04/03/19 01:15:49 AM,11.50,8.82,0.00,0.0,,,,
92,04/03/19 01:25:49 AM,11.49,8.82,0.00,0.0,,,,
93,04/03/19 01:35:49 AM,11.49,8.82,0.00,0.0,,,,
94,04/03/19 01:45:49 AM,11.49,8.82,0.00,0.0,,,,
95,04/03/19 01:55:49 AM,11.49,8.82,0.00,0.0,,,,
96,04/03/19 02:05:49 AM,11.50,8.82,0.00,0.0,,,,
97,04/03/19 02:15:49 AM,11.50,8.80,0.00,0.0,,,,
98,04/03/19 02:25:49 AM,11.50,8.82,0.00,0.0,,,,
99,04/03/19 02:35:49 AM,11.50,8.82,0.00,0.0,,,,
100,04/03/19 02:45:49 AM,11.49,8.82,0.00,0.0,,,,
101,04/03/19 02:55:49 AM,11.50,8.82,0.00,0.0,,,,
102,04/03/19 03:05:49 AM,11.49,8.82,0.00,0.0,,,,
103,04/03/19 03:15:49 AM,11.50,8.82,0.00,0.0,,,,
104,04/03/19 03:25:49 AM,11.49,8.80,0.00,0.0,,,,
105,04/03/19 03:35:49 AM,11.49,8.78,0.00,0.0,,,,
106,04/03/19 03:45:49 AM,11.49,8.76,0.00,0.0,,,,
107,04/03/19 03:55:49 AM,11.50,8.76,0.00,0.0,,,,
108,04/03/19 04:05:49 AM,11.50,8.76,0.00,0.0,,,,
109,04/03/19 04:15:49 AM,11.50,8.76,0.00,0.0,,,,
110,04/03/19 04:25:49 AM,11.50,8.76,0.00,0.0,,,,
111,04/03/19 04:35:49 AM,11.49,8.76,0.00,0.0,,,,
112,04/03/19 04:45:49 AM,11.50,8.76,0.00,0.0,,,,
113,04/03/19 04:55:49 AM,11.50,8.76,0.00,0.0,,,,
114,04/03/19 05:05:49 AM,11.50,8.76,0.00,0.0,,,,
115,04/03/19 05:15:49 AM,11.51,8.76,0.00,0.0,,,,
116,04/03/19 05:25:49 AM,11.50,8.76,0.00,0.0,,,,
117,04/03/19 05:35:49 AM,11.50,8.76,0.00,0.0,,,,
118,04/03/19 05:45:49 AM,11.51,8.76,0.00,0.0,,,,
119,04/03/19 05:55:49 AM,11.50,8.76,0.00,0.0,,,,
120,04/03/19 06:05:49 AM,11.50,8.76,0.00,0.0,,,,
