experiment,unit,unit_number,date,pH,temp
Juvenile,Tank,5,08/28/18,7.69,12.4
Juvenile,Tank,5,08/29/18,7.7,12.5
Juvenile,Tank,5,08/30/18,7.69,12.5
Juvenile,Tank,5,08/31/18,7.71,12.6
Juvenile,Tank,5,09/04/18,7.72,12.6
Juvenile,Tank,5,09/05/18,7.71,12.7
Juvenile,Tank,5,09/06/18,7.71,12.7
Juvenile,Tank,5,09/07/18,7.7,12.8
Juvenile,Tank,5,09/10/18,7.79,13.3
Juvenile,Tank,5,09/11/18,7.8,13.4
Juvenile,Tank,5,09/12/18,7.83,13.5
Juvenile,Tank,5,09/13/18,7.8,13.3
Juvenile,Tank,5,09/14/18,7.75,12.9
Juvenile,Tank,5,09/15/18,7.74,12.7
Juvenile,Tank,5,09/18/18,7.69,12.3
Juvenile,Tank,5,09/19/18,7.67,12.2
Juvenile,Tank,5,09/20/18,7.69,12.4
Juvenile,Tank,5,09/21/18,7.72,21.7
Juvenile,Tank,5,09/23/18,7.77,13
Juvenile,Tank,5,09/24/18,7.74,12.6
Juvenile,Tank,5,09/25/18,7.72,12.5
Juvenile,Tank,5,09/26/18,7.72,12.4
Juvenile,Tank,5,09/27/18,7.71,12.6
Juvenile,Tank,5,09/29/18,7.72,12.6
Juvenile,Tank,5,10/01/18,7.75,12.8
Juvenile,Tank,5,10/02/18,7.74,12.8
Juvenile,Tank,5,10/03/18,7.76,12.8
Juvenile,Tank,5,10/04/18,7.73,12.5
Juvenile,Tank,5,10/05/18,7.73,12.3
Juvenile,Tank,5,10/06/18,7.73,12.4
Juvenile,Tank,5,10/08/18,7.67,12.4
Juvenile,Tank,5,10/09/18,7.63,12.4
Juvenile,Tank,5,10/10/18,7.67,12.4
Juvenile,Tank,5,10/11/18,7.71,12.3
Juvenile,Tank,5,10/12/18,7.69,12.4
Juvenile,Tank,5,10/13/18,7.71,12.2
Juvenile,Tank,5,10/15/18,7.73,12.1
Juvenile,Tank,5,10/16/18,7.72,12.2
Juvenile,Tank,5,10/17/18,7.73,12.1
Juvenile,Tank,5,10/18/18,7.71,12.2
Juvenile,Tank,5,10/21/18,7.74,12.3
Juvenile,Tank,5,10/22/18,7.7,12.2
Juvenile,Tank,5,10/23/18,7.71,12.1
Juvenile,Tank,5,10/24/18,7.69,12.4
Juvenile,Tank,5,10/25/18,7.7,12.4
Juvenile,Tank,5,10/26/18,8.17,73.8
Juvenile,Tank,5,10/27/18,----,----
Juvenile,Tank,5,10/28/18,0,74.4
Juvenile,Tank,5,10/29/18,1.43,78
Juvenile,Tank,5,10/30/18,14,69.5
Juvenile,Tank,5,10/31/18,0,68
Juvenile,Tank,5,11/01/18,----,61.3
Juvenile,Tank,5,11/02/18,----,----
Juvenile,Tank,5,11/03/18,----,----
Juvenile,Tank,5,11/04/18,----,----
Juvenile,Tank,5,11/05/18,0,68.9
Juvenile,Tank,5,11/06/18,2.4,73.7
Juvenile,Tank,5,11/07/18,4.54,73.7
Juvenile,Tank,5,11/09/18,10.85,109
Juvenile,Tank,5,11/11/18,8.49,96
Juvenile,Tank,5,11/12/18,12.79,98.4
Juvenile,Tank,5,11/14/18,14,72.3
Juvenile,Tank,5,11/15/18,14,107.9
Juvenile,Tank,5,11/16/18,14,99
Juvenile,Tank,5,11/17/18,14,97
Juvenile,Tank,5,11/18/18,14,106.8
Juvenile,Tank,5,11/20/18,14,82.3
Juvenile,Tank,5,11/21/18,14,84
Juvenile,Tank,5,11/22/18,14,66.5
Juvenile,Tank,5,11/23/18,14,63.1
Juvenile,Tank,5,11/24/18,14,64.9
Juvenile,Tank,5,11/25/18,14,0
Juvenile,Tank,5,11/26/18,14,0
Juvenile,Tank,5,11/27/18,14,51
Juvenile,Tank,5,11/28/18,14,0
Juvenile,Tank,5,11/29/18,14,58
Juvenile,Tank,5,11/30/18,14,0
Juvenile,Tank,5,12/01/18,14,0
Juvenile,Tank,5,12/02/18,14,0
Juvenile,Tank,5,12/03/18,14,0
Juvenile,Tank,5,12/04/18,14,0
Juvenile,Tank,5,12/05/18,14,0
Juvenile,Tank,5,12/06/18,14,55
Juvenile,Tank,5,12/08/18,14,53
Juvenile,Tank,5,12/09/18,14,0
Juvenile,Tank,5,12/10/18,14,52.4
Juvenile,Tank,5,12/11/18,14,57.7
Juvenile,Tank,5,12/12/18,8.3,57.4
Juvenile,Tank,5,12/13/18,12.42,58.6
Juvenile,Tank,5,12/14/18,13,74
Juvenile,Tank,5,12/15/18,4.54,39
Juvenile,Tank,5,12/16/18,14,80
Juvenile,Tank,5,12/17/18,14,85.9
Juvenile,Tank,5,12/18/18,14,41.4
Juvenile,Tank,5,12/19/18,14,66
Juvenile,Tank,5,12/20/18,----,----
Juvenile,Tank,5,12/21/18,----,----
Juvenile,Tank,5,12/22/18,----,----
Juvenile,Tank,5,12/23/18,----,----
Juvenile,Tank,5,12/24/18,----,----
Juvenile,Tank,5,12/26/18,----,----
Juvenile,Tank,5,12/28/18,----,----
Juvenile,Tank,5,12/29/18,----,----
Juvenile,Tank,5,12/30/18,----,----
Juvenile,Tank,5,12/31/18,----,----
Juvenile,Tank,5,01/02/19,----,----
Juvenile,Tank,5,01/03/19,----,----
Juvenile,Tank,5,01/04/19,----,----
Juvenile,Tank,5,01/05/19,----,----
Juvenile,Tank,5,01/06/19,----,----
Juvenile,Tank,5,01/07/19,----,----
Juvenile,Tank,5,01/08/19,----,----
Juvenile,Tank,5,01/09/19,----,----
Juvenile,Tank,5,01/10/19,----,----
Juvenile,Tank,5,01/11/19,----,----
Juvenile,Tank,5,01/12/19,----,----
Juvenile,Tank,5,01/13/19,----,----
Juvenile,Tank,5,01/14/19,----,----
Juvenile,Tank,5,01/15/19,----,----
Juvenile,Tank,5,01/16/19,----,----
Juvenile,Tank,5,01/17/19,----,----
Juvenile,Tank,5,01/18/19,----,----
Juvenile,Tank,5,01/19/19,----,----
Juvenile,Tank,5,01/20/19,----,----
Juvenile,Tank,5,01/21/19,----,----
Juvenile,Tank,5,01/22/19,----,----
Juvenile,Tank,5,01/23/19,----,----
Juvenile,Tank,5,01/24/19,----,----
Juvenile,Tank,5,01/25/19,----,----
Juvenile,Tank,5,01/26/19,----,----
Juvenile,Tank,5,01/27/19,----,----
Juvenile,Tank,5,01/28/19,----,----
Juvenile,Tank,5,01/29/19,----,----
Juvenile,Tank,5,01/30/19,----,----
Juvenile,Tank,5,01/31/19,----,----
Juvenile,Tank,5,02/01/19,----,----
Juvenile,Tank,5,02/03/19,----,----
Juvenile,Tank,5,02/04/19,----,----
Juvenile,Tank,5,02/05/19,----,----
Juvenile,Tank,5,02/06/19,----,----
Juvenile,Tank,5,02/07/19,----,----
Juvenile,Tank,5,02/08/19,----,----
Juvenile,Tank,5,02/11/19,----,----
Juvenile,Tank,5,02/12/19,----,----
Juvenile,Tank,5,02/13/19,----,----
Juvenile,Tank,5,02/14/19,----,----
Juvenile,Tank,5,02/15/19,----,----
Juvenile,Tank,5,02/16/19,----,----
Juvenile,Tank,5,02/17/19,----,----
Juvenile,Tank,5,02/18/19,----,----
Juvenile,Tank,5,02/19/19,----,----
Juvenile,Tank,5,02/20/19,----,----
Juvenile,Tank,5,02/21/19,----,----
Juvenile,Tank,5,02/22/19,----,----
Juvenile,Tank,5,02/23/19,----,----
Juvenile,Tank,5,02/24/19,----,----
Juvenile,Tank,5,02/25/19,----,----
Juvenile,Tank,5,02/26/19,----,----
Juvenile,Tank,5,02/27/19,----,----
Juvenile,Tank,5,03/01/19,----,----
Juvenile,Tank,5,03/02/19,----,----
Juvenile,Tank,5,03/03/19,----,----
Juvenile,Tank,5,03/04/19,----,----
Juvenile,Tank,5,03/05/19,----,----
Juvenile,Tank,5,03/06/19,----,----
Juvenile,Tank,5,03/07/19,----,----
Juvenile,Tank,5,03/08/19,----,----
Juvenile,Tank,5,03/09/19,----,----
Juvenile,Tank,5,03/10/19,----,----
Juvenile,Tank,5,03/12/19,----,----
Juvenile,Tank,5,03/13/19,----,----
Juvenile,Tank,5,03/14/19,----,----
Juvenile,Tank,5,03/15/19,----,----
Juvenile,Tank,5,03/16/19,----,----
Juvenile,Tank,5,03/17/19,----,----
Juvenile,Tank,5,03/18/19,----,----
Juvenile,Tank,5,03/19/19,----,----
Juvenile,Tank,5,03/20/19,----,----
Juvenile,Tank,5,03/22/19,----,----
Juvenile,Tank,5,03/23/19,----,----
Juvenile,Tank,5,03/24/19,----,----
Juvenile,Tank,5,03/25/19,----,----
Juvenile,Tank,5,03/26/19,----,----
Juvenile,Tank,5,03/27/19,----,----
Juvenile,Tank,5,03/28/19,----,----
Juvenile,Tank,5,03/29/19,----,----
Juvenile,Tank,5,03/30/19,----,----
Juvenile,Tank,5,03/31/19,----,----
Juvenile,Tank,5,04/01/19,----,----
Juvenile,Tank,5,04/02/19,----,----
Juvenile,Tank,5,04/03/19,----,----
Juvenile,Tank,5,04/04/19,----,----
Juvenile,Tank,5,04/05/19,----,----
Juvenile,Tank,5,04/06/19,----,----
Juvenile,Tank,5,04/07/19,----,----
Juvenile,Tank,5,04/08/19,----,----
Juvenile,Tank,5,04/10/19,----,----
Juvenile,Tank,5,04/11/19,----,----
Juvenile,Tank,5,04/12/19,----,----
Juvenile,Tank,5,04/13/19,----,----
Juvenile,Tank,5,04/17/19,----,----
Juvenile,Tank,5,04/18/19,----,----
Juvenile,Tank,5,04/19/19,----,----
Juvenile,Tank,5,04/20/19,----,----
Juvenile,Tank,5,04/21/19,----,----
Juvenile,Tank,5,04/22/19,----,----
Juvenile,Tank,5,04/23/19,----,----
Juvenile,Tank,5,04/24/19,----,----
Juvenile,Tank,5,04/25/19,----,----
Juvenile,Tank,5,04/26/19,----,----
Juvenile,Tank,5,04/27/19,----,----
Juvenile,Tank,5,04/28/19,----,----
Juvenile,Tank,5,04/29/19,----,----
Juvenile,Tank,5,04/30/19,----,----
Juvenile,Tank,5,05/01/19,----,----
Juvenile,Tank,5,05/02/19,----,----
Juvenile,Tank,5,05/03/19,----,----
Juvenile,Tank,5,05/04/19,----,----
Juvenile,Tank,5,05/05/19,----,----
Juvenile,Tank,5,05/06/19,----,----
Juvenile,Tank,5,05/07/19,----,----
