"","temp","ObservationDate","location","sensortype"
"95",8.5,2019-02-21,"salmonShed","wallUDA_salmonShed"
"96",8.5,2019-02-24,"salmonShed","wallUDA_salmonShed"
"97",8.5,2019-02-24,"salmonShed","wallUDA_salmonShed"
"98",8.5,2019-02-24,"salmonShed","wallUDA_salmonShed"
"99",8.5,2019-02-26,"salmonShed","wallUDA_salmonShed"
"100",8.5,2019-02-26,"salmonShed","wallUDA_salmonShed"
"101",8.5,2019-02-27,"salmonShed","wallUDA_salmonShed"
"102",8.5,2019-02-27,"salmonShed","wallUDA_salmonShed"
"103",8.5,2019-03-02,"salmonShed","wallUDA_salmonShed"
"104",8.5,2019-03-02,"salmonShed","wallUDA_salmonShed"
"105",8.5,2019-03-03,"salmonShed","wallUDA_salmonShed"
"106",8.5,2019-03-03,"salmonShed","wallUDA_salmonShed"
"107",8.5,2019-03-07,"salmonShed","wallUDA_salmonShed"
"108",8.5,2019-03-07,"salmonShed","wallUDA_salmonShed"
"109",8.5,2019-03-18,"salmonShed","wallUDA_salmonShed"
"110",8.5,2019-03-20,"salmonShed","wallUDA_salmonShed"
"111",8.5,2019-03-22,"salmonShed","wallUDA_salmonShed"
"112",8.5,2019-03-22,"salmonShed","wallUDA_salmonShed"
"113",8.5,2019-03-22,"salmonShed","wallUDA_salmonShed"
"114",8.5,2019-03-26,"salmonShed","wallUDA_salmonShed"
"115",8.5,2019-03-26,"salmonShed","wallUDA_salmonShed"
"116",8.5,2019-03-27,"salmonShed","wallUDA_salmonShed"
"117",8.5,2019-03-27,"salmonShed","wallUDA_salmonShed"
"118",8.5,2019-03-28,"salmonShed","wallUDA_salmonShed"
"119",8.5,2019-03-29,"salmonShed","wallUDA_salmonShed"
"120",8.5,2019-04-02,"salmonShed","wallUDA_salmonShed"
"121",8.6,2018-12-22,"salmonShed","wallUDA_salmonShed"
"122",8.6,2019-02-04,"salmonShed","wallUDA_salmonShed"
"123",8.6,2019-02-04,"salmonShed","wallUDA_salmonShed"
"124",8.6,2019-02-12,"salmonShed","wallUDA_salmonShed"
"125",8.6,2019-02-16,"salmonShed","wallUDA_salmonShed"
"126",8.6,2019-02-18,"salmonShed","wallUDA_salmonShed"
"127",8.6,2019-02-19,"salmonShed","wallUDA_salmonShed"
"128",8.6,2019-02-21,"salmonShed","wallUDA_salmonShed"
"129",8.6,2019-02-22,"salmonShed","wallUDA_salmonShed"
"130",8.6,2019-02-23,"salmonShed","wallUDA_salmonShed"
"131",8.6,2019-03-01,"salmonShed","wallUDA_salmonShed"
"132",8.6,2019-03-01,"salmonShed","wallUDA_salmonShed"
"133",8.6,2019-03-01,"salmonShed","wallUDA_salmonShed"
"134",8.6,2019-03-05,"salmonShed","wallUDA_salmonShed"
"135",8.6,2019-03-07,"salmonShed","wallUDA_salmonShed"
"136",8.6,2019-03-07,"salmonShed","wallUDA_salmonShed"
"137",8.6,2019-03-14,"salmonShed","wallUDA_salmonShed"
"138",8.6,2019-03-14,"salmonShed","wallUDA_salmonShed"
"139",8.6,2019-03-15,"salmonShed","wallUDA_salmonShed"
"140",8.6,2019-03-20,"salmonShed","wallUDA_salmonShed"
"141",8.6,2019-03-20,"salmonShed","wallUDA_salmonShed"
"142",8.6,2019-03-23,"salmonShed","wallUDA_salmonShed"
"143",8.6,2019-03-23,"salmonShed","wallUDA_salmonShed"
"144",8.6,2019-03-26,"salmonShed","wallUDA_salmonShed"
"145",8.6,2019-03-26,"salmonShed","wallUDA_salmonShed"
"146",8.6,2019-03-28,"salmonShed","wallUDA_salmonShed"
"147",8.6,2019-03-28,"salmonShed","wallUDA_salmonShed"
"148",8.6,2019-03-29,"salmonShed","wallUDA_salmonShed"
"149",8.6,2019-03-30,"salmonShed","wallUDA_salmonShed"
"150",8.6,2019-04-01,"salmonShed","wallUDA_salmonShed"
"151",8.6,2019-04-02,"salmonShed","wallUDA_salmonShed"
"152",8.6,2019-04-02,"salmonShed","wallUDA_salmonShed"
"153",8.6,2019-04-02,"salmonShed","wallUDA_salmonShed"
"154",8.7,2019-02-04,"salmonShed","wallUDA_salmonShed"
"155",8.7,2019-02-05,"salmonShed","wallUDA_salmonShed"
"156",8.7,2019-02-06,"salmonShed","wallUDA_salmonShed"
"157",8.7,2019-02-11,"salmonShed","wallUDA_salmonShed"
"158",8.7,2019-02-11,"salmonShed","wallUDA_salmonShed"
"159",8.7,2019-02-12,"salmonShed","wallUDA_salmonShed"
"160",8.7,2019-02-16,"salmonShed","wallUDA_salmonShed"
"161",8.7,2019-02-16,"salmonShed","wallUDA_salmonShed"
"162",8.7,2019-02-18,"salmonShed","wallUDA_salmonShed"
"163",8.7,2019-02-18,"salmonShed","wallUDA_salmonShed"
"164",8.7,2019-02-19,"salmonShed","wallUDA_salmonShed"
"165",8.7,2019-02-19,"salmonShed","wallUDA_salmonShed"
"166",8.7,2019-02-21,"salmonShed","wallUDA_salmonShed"
"167",8.7,2019-02-22,"salmonShed","wallUDA_salmonShed"
"168",8.7,2019-02-23,"salmonShed","wallUDA_salmonShed"
"169",8.7,2019-02-23,"salmonShed","wallUDA_salmonShed"
"170",8.7,2019-02-23,"salmonShed","wallUDA_salmonShed"
"171",8.7,2019-03-01,"salmonShed","wallUDA_salmonShed"
"172",8.7,2019-03-14,"salmonShed","wallUDA_salmonShed"
"173",8.7,2019-03-14,"salmonShed","wallUDA_salmonShed"
"174",8.7,2019-03-15,"salmonShed","wallUDA_salmonShed"
"175",8.7,2019-03-15,"salmonShed","wallUDA_salmonShed"
"176",8.7,2019-03-17,"salmonShed","wallUDA_salmonShed"
"177",8.7,2019-03-17,"salmonShed","wallUDA_salmonShed"
"178",8.7,2019-03-17,"salmonShed","wallUDA_salmonShed"
"179",8.7,2019-03-17,"salmonShed","wallUDA_salmonShed"
"180",8.7,2019-03-18,"salmonShed","wallUDA_salmonShed"
"181",8.7,2019-03-18,"salmonShed","wallUDA_salmonShed"
"182",8.7,2019-03-20,"salmonShed","wallUDA_salmonShed"
"183",8.7,2019-03-23,"salmonShed","wallUDA_salmonShed"
"184",8.7,2019-03-28,"salmonShed","wallUDA_salmonShed"
"185",8.7,2019-03-29,"salmonShed","wallUDA_salmonShed"
"186",8.7,2019-03-29,"salmonShed","wallUDA_salmonShed"
"187",8.7,2019-03-30,"salmonShed","wallUDA_salmonShed"
"188",8.7,2019-03-30,"salmonShed","wallUDA_salmonShed"
"189",8.7,2019-04-01,"salmonShed","wallUDA_salmonShed"
"190",8.7,2019-04-01,"salmonShed","wallUDA_salmonShed"
"191",8.7,2019-04-03,"salmonShed","wallUDA_salmonShed"
"192",8.7,2019-04-10,"salmonShed","wallUDA_salmonShed"
"193",8.7,2019-04-10,"salmonShed","wallUDA_salmonShed"
"194",8.8,2019-01-02,"salmonShed","wallUDA_salmonShed"
"195",8.8,2019-01-16,"salmonShed","wallUDA_salmonShed"
"196",8.8,2019-02-03,"salmonShed","wallUDA_salmonShed"
"197",8.8,2019-02-04,"salmonShed","wallUDA_salmonShed"
"198",8.8,2019-02-05,"salmonShed","wallUDA_salmonShed"
"199",8.8,2019-02-05,"salmonShed","wallUDA_salmonShed"
"200",8.8,2019-02-06,"salmonShed","wallUDA_salmonShed"
"201",8.8,2019-02-06,"salmonShed","wallUDA_salmonShed"
"202",8.8,2019-02-11,"salmonShed","wallUDA_salmonShed"
"203",8.8,2019-02-11,"salmonShed","wallUDA_salmonShed"
"204",8.8,2019-02-12,"salmonShed","wallUDA_salmonShed"
"205",8.8,2019-02-15,"salmonShed","wallUDA_salmonShed"
"206",8.8,2019-02-15,"salmonShed","wallUDA_salmonShed"
"207",8.8,2019-02-15,"salmonShed","wallUDA_salmonShed"
"208",8.8,2019-02-22,"salmonShed","wallUDA_salmonShed"
"209",8.8,2019-03-24,"salmonShed","wallUDA_salmonShed"
"210",8.8,2019-03-24,"salmonShed","wallUDA_salmonShed"
"211",8.8,2019-03-30,"salmonShed","wallUDA_salmonShed"
"212",8.8,2019-03-31,"salmonShed","wallUDA_salmonShed"
"213",8.8,2019-03-31,"salmonShed","wallUDA_salmonShed"
"214",8.8,2019-03-31,"salmonShed","wallUDA_salmonShed"
"215",8.8,2019-04-01,"salmonShed","wallUDA_salmonShed"
"216",8.8,2019-04-03,"salmonShed","wallUDA_salmonShed"
"217",8.8,2019-04-03,"salmonShed","wallUDA_salmonShed"
"218",8.8,2019-04-03,"salmonShed","wallUDA_salmonShed"
"219",8.8,2019-04-10,"salmonShed","wallUDA_salmonShed"
"220",8.8,2019-04-10,"salmonShed","wallUDA_salmonShed"
"221",8.8,2019-04-11,"salmonShed","wallUDA_salmonShed"
"222",8.9,2019-01-15,"salmonShed","wallUDA_salmonShed"
"223",8.9,2019-01-15,"salmonShed","wallUDA_salmonShed"
"224",8.9,2019-01-16,"salmonShed","wallUDA_salmonShed"
"225",8.9,2019-02-03,"salmonShed","wallUDA_salmonShed"
"226",8.9,2019-02-03,"salmonShed","wallUDA_salmonShed"
"227",8.9,2019-02-05,"salmonShed","wallUDA_salmonShed"
"228",8.9,2019-02-06,"salmonShed","wallUDA_salmonShed"
"229",8.9,2019-02-12,"salmonShed","wallUDA_salmonShed"
"230",8.9,2019-02-15,"salmonShed","wallUDA_salmonShed"
"231",8.9,2019-03-19,"salmonShed","wallUDA_salmonShed"
"232",8.9,2019-03-19,"salmonShed","wallUDA_salmonShed"
