dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
12,Juvenile,Tank,6,,,11:00 AM,21-Jun-19,25,29.6,0.00095,6.972941687,6.994924045,-0.06,-0.04,0.04,0.59,0.1,0.04,0.215384615,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.205216724,0
10,Juvenile,Tank,6,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.051556446,7.069684254,-0.15,-0.1,-0.02,0.48,0.06,-0.02,0.253968254,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.244011103,0
8,Juvenile,Tank,5,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.664433414,7.667478748,-0.06,-0.04,0.05,0.48,0.47,0.05,0.944444444,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.93825861,0
5,Juvenile,Tank,5,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.664433414,7.667478748,-0.03,-0.01,0.08,0.46,0.45,0.03,0.944444444,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.93825861,0.05
6,Juvenile,Tank,4,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.022293331,7.041779192,-0.04,-0.02,0.06,0.63,0.14,0.06,0.23880597,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.228766004,0
4,Juvenile,Tank,4,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.023549489,7.04297525,-0.1,-0.07,0.01,0.6,0.09,0,0.23943662,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.229400098,0.01
1,Juvenile,Tank,3,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.653706604,7.656877898,-0.12,-0.09,-0.02,0.55,0.53,0,0.923076923,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.916774382,-0.02
9,Juvenile,Tank,4,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.630968569,7.634416768,-0.15,-0.11,-0.04,0.44,0.41,-0.03,0.879310345,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.872768754,-0.01
7,Juvenile,Tank,2,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.015232817,7.035059572,-0.06,-0.03,0.05,0.6,0.11,0.03,0.235294118,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.22523497,0.02
21,Juvenile,Tank,2,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.015232817,7.035059572,-0.05,-0.03,0.05,0.64,0.14,0.06,0.235294118,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.22523497,-0.01
2,Juvenile,Tank,1,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.658884901,7.661995023,-0.07,-0.05,0.04,0.5,0.48,0.01,0.933333333,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.927086811,0.03
3,Juvenile,Tank,1,,,11:00 AM,21-Jun-19,25,29.6,0.00095,7.658317098,7.661433893,-0.1,-0.09,-0.02,0.49,0.46,-0.02,0.93220339,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.925950696,0
