"","treatment","sensortype","sd","mean","median","IQR","n","se","ci"
"1","ambient","OceanOptics",0.0539128159081702,7.55892297966316,7.539784797,0.0877747649999998,190,0.00391124675179307,0.00766604363351442
"2","ambient","UDA2182",2.07512790547102,8.25596730245232,7.81,0.24,554,0.0881637365801267,0.172800923697048
"3","highCO2","OceanOptics",0.127569831607462,7.02537453620419,7.015232817,0.112132172500001,191,0.00923062905525899,0.0180920329483076
"4","highCO2","UDA2182",0.246926715223177,7.20954271961492,7.21,0.04,831,0.00856579284648763,0.0167889539791158
