"","treatment","sensortype","sd","mean","median","IQR","n","se","ci"
"1","ambient","OceanOptics",NA,NA,NA,NA,23,NA,NA
"2","ambient","UDA2182",2.07512790547102,8.25596730245232,7.81,0.24,554,0.0881637365801267,0.172800923697048
"3","ambient_chumhouse","OceanOptics",NA,NA,NA,NA,18,NA,NA
"4","ambient_juvenileDGN","OceanOptics",0.171659844366137,7.73029283218691,7.757682019632,0.115806833729041,190,0.0124535140185213,0.0244088874763018
"5","highCO2","UDA2182",0.246926715223177,7.20954271961492,7.21,0.04,831,0.00856579284648763,0.0167889539791158
"6","highCO2_juvenileDGN","OceanOptics",0.111100077941103,7.17346065589027,7.16799616864412,0.104251772031363,191,0.00803891950441905,0.0157562822286613
