Date,Species,Tank,Water Temperature,Salinity,location,sensortype
6/21/19,Chum,N/A,11.9,29.78,salmonShed,HoneywellUDA
6/21/19,Chinook,1,12.3,29.77,chumHouse,HoneywellUDA
6/21/19,Chinook,2,12,30.01,chumHouse,HoneywellUDA
6/21/19,Chinook,3,12,30.01,chumHouse,HoneywellUDA
6/21/19,Chinook,4,12,30.01,chumHouse,HoneywellUDA
6/21/19,Chinook,5,12,30,chumHouse,HoneywellUDA
6/21/19,Chinook,6,12,29.98,chumHouse,HoneywellUDA
6/21/19,Coho,28,12,29.91,salmonShed,HoneywellUDA
6/21/19,Coho,29,11.8,29.91,salmonShed,HoneywellUDA
6/21/19,Sable,N/A,11.9,30.01,salmonShed,HoneywellUDA
6/21/19,Pink,N/A,11.9,29.92,salmonShed,HoneywellUDA
6/24/19,Chum,N/A,11.7,29.98,salmonShed,HoneywellUDA
6/24/19,Chinook,1,11.6,30.1,chumHouse,HoneywellUDA
6/24/19,Chinook,2,11.6,30.13,chumHouse,HoneywellUDA
6/24/19,Chinook,3,11.6,30.14,chumHouse,HoneywellUDA
6/24/19,Chinook,4,11.6,30.13,chumHouse,HoneywellUDA
6/24/19,Chinook,5,11.6,30.1,chumHouse,HoneywellUDA
6/24/19,Chinook,6,11.6,30.13,chumHouse,HoneywellUDA
6/24/19,Coho,28,11.5,30.13,salmonShed,HoneywellUDA
6/24/19,Coho,29,11.6,30.04,salmonShed,HoneywellUDA
6/24/19,Sable,N/A,11.5,30.15,salmonShed,HoneywellUDA
6/24/19,Pink,N/A,11.6,30.09,salmonShed,HoneywellUDA
6/26/19,Coho,28,12.3,29.63,salmonShed,HoneywellUDA
6/26/19,Coho,29,11.9,30.06,salmonShed,HoneywellUDA
6/26/19,Chum,N/A,11.8,30.12,salmonShed,HoneywellUDA
6/26/19,Sable,N/A,11.8,30.1,salmonShed,HoneywellUDA
6/26/19,Pink,N/A,11.8,30.06,salmonShed,HoneywellUDA
6/26/19,Chinook,1,12,30.02,chumHouse,HoneywellUDA
6/26/19,Chinook,2,11.9,30.11,chumHouse,HoneywellUDA
6/26/19,Chinook,3,11.9,30.12,chumHouse,HoneywellUDA
6/26/19,Chinook,4,11.9,30.13,chumHouse,HoneywellUDA
6/26/19,Chinook,5,11.9,30.12,chumHouse,HoneywellUDA
6/26/19,Chinook,6,11.9,30.08,chumHouse,HoneywellUDA
6/28/19,Coho,28,12.3,29.93,salmonShed,HoneywellUDA
6/28/19,Coho,29,12.2,29.93,salmonShed,HoneywellUDA
6/28/19,Sable,N/A,12.2,29.99,salmonShed,HoneywellUDA
6/28/19,Pink,N/A,12.2,29.98,salmonShed,HoneywellUDA
6/28/19,Chum,N/A,12.2,29.95,salmonShed,HoneywellUDA
6/28/19,Chinook,1,12.3,29.98,chumHouse,HoneywellUDA
6/28/19,Chinook,2,12.2,30.01,chumHouse,HoneywellUDA
6/28/19,Chinook,3,12.3,30.02,chumHouse,HoneywellUDA
6/28/19,Chinook,4,12.2,30.04,chumHouse,HoneywellUDA
6/28/19,Chinook,5,12.2,30,chumHouse,HoneywellUDA
6/28/19,Chinook,6,12.2,30.04,chumHouse,HoneywellUDA
7/1/19,Coho,28,11.6,29.96,salmonShed,HoneywellUDA
7/1/19,Coho,29,11.5,30.11,salmonShed,HoneywellUDA
7/1/19,Sable,N/A,11.5,30.16,salmonShed,HoneywellUDA
7/1/19,Pink,N/A,11.5,30.15,salmonShed,HoneywellUDA
7/1/19,Chum,N/A,11.5,30.13,salmonShed,HoneywellUDA
7/1/19,Chinook,1,12.2,29.97,chumHouse,HoneywellUDA
7/1/19,Chinook,2,12.1,30.04,chumHouse,HoneywellUDA
7/1/19,Chinook,3,12.2,30.07,chumHouse,HoneywellUDA
7/1/19,Chinook,4,12.1,30.04,chumHouse,HoneywellUDA
7/1/19,Chinook,5,12.2,30.03,chumHouse,HoneywellUDA
7/1/19,Chinook,6,12.2,29.97,chumHouse,HoneywellUDA
7/8/19,Coho,28,12.3,30.09,salmonShed,HoneywellUDA
7/8/19,Coho,29,12.1,30.2,salmonShed,HoneywellUDA
7/8/19,Sable,N/A,12.2,30.27,salmonShed,HoneywellUDA
7/8/19,Pink,N/A,12.1,30.23,salmonShed,HoneywellUDA
7/8/19,Chum,N/A,12.1,30.19,salmonShed,HoneywellUDA
7/8/19,Chinook,1,12.5,29.96,chumHouse,HoneywellUDA
7/8/19,Chinook,2,12.6,30.13,chumHouse,HoneywellUDA
7/8/19,Chinook,3,12.6,30.15,chumHouse,HoneywellUDA
7/8/19,Chinook,4,12.6,30.12,chumHouse,HoneywellUDA
7/8/19,Chinook,5,12.6,30.13,chumHouse,HoneywellUDA
7/8/19,Chinook,6,12.6,30.11,chumHouse,HoneywellUDA
7/10/19,Coho,28,12.4,30.07,salmonShed,HoneywellUDA
7/10/19,Coho,29,12.3,30.16,salmonShed,HoneywellUDA
7/10/19,Sable,N/A,12.3,30.22,salmonShed,HoneywellUDA
7/10/19,Pink,N/A,12.3,30.2,salmonShed,HoneywellUDA
