"","temp","ObservationDate","location","sensortype"
"1",NA,2018-10-27,"salmonShed","wallUDA_salmonShed"
"2",NA,2018-11-02,"salmonShed","wallUDA_salmonShed"
"3",NA,2018-11-03,"salmonShed","wallUDA_salmonShed"
"4",NA,2018-11-04,"salmonShed","wallUDA_salmonShed"
"5",NA,2018-12-20,"salmonShed","wallUDA_salmonShed"
"6",NA,2018-12-21,"salmonShed","wallUDA_salmonShed"
"7",NA,2018-12-22,"salmonShed","wallUDA_salmonShed"
"8",NA,2018-12-23,"salmonShed","wallUDA_salmonShed"
"9",NA,2018-12-24,"salmonShed","wallUDA_salmonShed"
"10",NA,2018-12-26,"salmonShed","wallUDA_salmonShed"
"11",NA,2018-12-28,"salmonShed","wallUDA_salmonShed"
"12",NA,2018-12-29,"salmonShed","wallUDA_salmonShed"
"13",NA,2018-12-30,"salmonShed","wallUDA_salmonShed"
"14",NA,2018-12-31,"salmonShed","wallUDA_salmonShed"
"15",NA,2019-01-02,"salmonShed","wallUDA_salmonShed"
"16",NA,2019-01-03,"salmonShed","wallUDA_salmonShed"
"17",NA,2019-01-04,"salmonShed","wallUDA_salmonShed"
"18",NA,2019-01-05,"salmonShed","wallUDA_salmonShed"
"19",NA,2019-01-06,"salmonShed","wallUDA_salmonShed"
"20",NA,2019-01-07,"salmonShed","wallUDA_salmonShed"
"21",NA,2019-01-08,"salmonShed","wallUDA_salmonShed"
"22",NA,2019-01-09,"salmonShed","wallUDA_salmonShed"
"23",NA,2019-01-10,"salmonShed","wallUDA_salmonShed"
"24",NA,2019-01-11,"salmonShed","wallUDA_salmonShed"
"25",NA,2019-01-12,"salmonShed","wallUDA_salmonShed"
"26",NA,2019-01-13,"salmonShed","wallUDA_salmonShed"
"27",NA,2019-01-14,"salmonShed","wallUDA_salmonShed"
"28",NA,2019-01-15,"salmonShed","wallUDA_salmonShed"
"29",NA,2019-01-16,"salmonShed","wallUDA_salmonShed"
"30",NA,2019-01-17,"salmonShed","wallUDA_salmonShed"
"31",NA,2019-01-18,"salmonShed","wallUDA_salmonShed"
"32",NA,2019-01-19,"salmonShed","wallUDA_salmonShed"
"33",NA,2019-01-20,"salmonShed","wallUDA_salmonShed"
"34",NA,2019-01-21,"salmonShed","wallUDA_salmonShed"
"35",NA,2019-01-22,"salmonShed","wallUDA_salmonShed"
"36",NA,2019-01-23,"salmonShed","wallUDA_salmonShed"
"37",NA,2019-01-24,"salmonShed","wallUDA_salmonShed"
"38",NA,2019-01-25,"salmonShed","wallUDA_salmonShed"
"39",NA,2019-01-26,"salmonShed","wallUDA_salmonShed"
"40",NA,2019-01-27,"salmonShed","wallUDA_salmonShed"
"41",NA,2019-01-28,"salmonShed","wallUDA_salmonShed"
"42",NA,2019-01-29,"salmonShed","wallUDA_salmonShed"
"43",NA,2019-01-30,"salmonShed","wallUDA_salmonShed"
"44",NA,2019-01-31,"salmonShed","wallUDA_salmonShed"
"45",NA,2019-02-01,"salmonShed","wallUDA_salmonShed"
"46",NA,2019-02-03,"salmonShed","wallUDA_salmonShed"
"47",NA,2019-02-04,"salmonShed","wallUDA_salmonShed"
"48",NA,2019-02-05,"salmonShed","wallUDA_salmonShed"
"49",NA,2019-02-06,"salmonShed","wallUDA_salmonShed"
"50",NA,2019-02-07,"salmonShed","wallUDA_salmonShed"
"51",NA,2019-02-08,"salmonShed","wallUDA_salmonShed"
"52",NA,2019-02-11,"salmonShed","wallUDA_salmonShed"
"53",NA,2019-02-12,"salmonShed","wallUDA_salmonShed"
"54",NA,2019-02-13,"salmonShed","wallUDA_salmonShed"
"55",NA,2019-02-14,"salmonShed","wallUDA_salmonShed"
"56",NA,2019-02-15,"salmonShed","wallUDA_salmonShed"
"57",NA,2019-02-16,"salmonShed","wallUDA_salmonShed"
"58",NA,2019-02-17,"salmonShed","wallUDA_salmonShed"
"59",NA,2019-02-18,"salmonShed","wallUDA_salmonShed"
"60",NA,2019-02-19,"salmonShed","wallUDA_salmonShed"
"61",NA,2019-02-20,"salmonShed","wallUDA_salmonShed"
"62",NA,2019-02-21,"salmonShed","wallUDA_salmonShed"
"63",NA,2019-02-22,"salmonShed","wallUDA_salmonShed"
"64",NA,2019-02-23,"salmonShed","wallUDA_salmonShed"
"65",NA,2019-02-24,"salmonShed","wallUDA_salmonShed"
"66",NA,2019-02-25,"salmonShed","wallUDA_salmonShed"
"67",NA,2019-02-26,"salmonShed","wallUDA_salmonShed"
"68",NA,2019-02-27,"salmonShed","wallUDA_salmonShed"
"69",NA,2019-03-01,"salmonShed","wallUDA_salmonShed"
"70",NA,2019-03-02,"salmonShed","wallUDA_salmonShed"
"71",NA,2019-03-03,"salmonShed","wallUDA_salmonShed"
"72",NA,2019-03-04,"salmonShed","wallUDA_salmonShed"
"73",NA,2019-03-05,"salmonShed","wallUDA_salmonShed"
"74",NA,2019-03-06,"salmonShed","wallUDA_salmonShed"
"75",NA,2019-03-07,"salmonShed","wallUDA_salmonShed"
"76",NA,2019-03-08,"salmonShed","wallUDA_salmonShed"
"77",NA,2019-03-09,"salmonShed","wallUDA_salmonShed"
"78",NA,2019-03-10,"salmonShed","wallUDA_salmonShed"
"79",NA,2019-03-12,"salmonShed","wallUDA_salmonShed"
"80",NA,2019-03-13,"salmonShed","wallUDA_salmonShed"
"81",NA,2019-03-14,"salmonShed","wallUDA_salmonShed"
"82",NA,2019-03-15,"salmonShed","wallUDA_salmonShed"
"83",NA,2019-03-16,"salmonShed","wallUDA_salmonShed"
"84",NA,2019-03-17,"salmonShed","wallUDA_salmonShed"
"85",NA,2019-03-18,"salmonShed","wallUDA_salmonShed"
"86",NA,2019-03-19,"salmonShed","wallUDA_salmonShed"
"87",NA,2019-03-20,"salmonShed","wallUDA_salmonShed"
"88",NA,2019-03-22,"salmonShed","wallUDA_salmonShed"
"89",NA,2019-03-23,"salmonShed","wallUDA_salmonShed"
"90",NA,2019-03-24,"salmonShed","wallUDA_salmonShed"
"91",NA,2019-03-25,"salmonShed","wallUDA_salmonShed"
"92",NA,2019-03-26,"salmonShed","wallUDA_salmonShed"
"93",NA,2019-03-27,"salmonShed","wallUDA_salmonShed"
"94",NA,2019-03-28,"salmonShed","wallUDA_salmonShed"
"95",NA,2019-03-29,"salmonShed","wallUDA_salmonShed"
"96",NA,2019-03-30,"salmonShed","wallUDA_salmonShed"
"97",NA,2019-03-31,"salmonShed","wallUDA_salmonShed"
"98",NA,2019-04-01,"salmonShed","wallUDA_salmonShed"
"99",NA,2019-04-02,"salmonShed","wallUDA_salmonShed"
"100",NA,2019-04-03,"salmonShed","wallUDA_salmonShed"
"101",NA,2019-04-04,"salmonShed","wallUDA_salmonShed"
"102",NA,2019-04-05,"salmonShed","wallUDA_salmonShed"
"103",NA,2019-04-06,"salmonShed","wallUDA_salmonShed"
"104",NA,2019-04-07,"salmonShed","wallUDA_salmonShed"
"105",NA,2019-04-08,"salmonShed","wallUDA_salmonShed"
"106",NA,2019-04-10,"salmonShed","wallUDA_salmonShed"
"107",NA,2019-04-11,"salmonShed","wallUDA_salmonShed"
"108",NA,2019-04-12,"salmonShed","wallUDA_salmonShed"
"109",NA,2019-04-13,"salmonShed","wallUDA_salmonShed"
"110",NA,2019-04-17,"salmonShed","wallUDA_salmonShed"
"111",NA,2019-04-18,"salmonShed","wallUDA_salmonShed"
"112",NA,2019-04-19,"salmonShed","wallUDA_salmonShed"
"113",NA,2019-04-20,"salmonShed","wallUDA_salmonShed"
"114",NA,2019-04-21,"salmonShed","wallUDA_salmonShed"
"115",NA,2019-04-22,"salmonShed","wallUDA_salmonShed"
"116",NA,2019-04-23,"salmonShed","wallUDA_salmonShed"
"117",NA,2019-04-24,"salmonShed","wallUDA_salmonShed"
"118",NA,2019-04-25,"salmonShed","wallUDA_salmonShed"
"119",NA,2019-04-26,"salmonShed","wallUDA_salmonShed"
"120",NA,2019-04-27,"salmonShed","wallUDA_salmonShed"
