"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
84,04/23/19 12:35:49 AM,11.51,9.32,11.51,99.4,,,
85,04/23/19 12:45:49 AM,11.51,9.32,11.51,99.4,,,
86,04/23/19 12:55:49 AM,11.52,9.32,11.52,99.5,,,
87,04/23/19 01:05:49 AM,11.52,9.32,11.52,99.5,,,
88,04/23/19 01:15:49 AM,11.50,9.32,11.50,99.3,,,
89,04/23/19 01:25:49 AM,11.51,9.34,11.51,99.5,,,
90,04/23/19 01:35:49 AM,11.51,9.34,11.51,99.5,,,
91,04/23/19 01:45:49 AM,11.50,9.36,11.50,99.4,,,
92,04/23/19 01:55:49 AM,11.51,9.36,11.51,99.5,,,
93,04/23/19 02:05:49 AM,11.51,9.36,11.51,99.5,,,
94,04/23/19 02:15:49 AM,11.51,9.36,11.51,99.5,,,
95,04/23/19 02:25:49 AM,11.50,9.38,11.50,99.5,,,
96,04/23/19 02:35:49 AM,11.50,9.38,11.50,99.5,,,
97,04/23/19 02:45:49 AM,11.51,9.38,11.51,99.6,,,
98,04/23/19 02:55:49 AM,11.51,9.40,11.51,99.6,,,
99,04/23/19 03:05:49 AM,11.49,9.40,11.49,99.4,,,
100,04/23/19 03:15:49 AM,11.50,9.40,11.50,99.5,,,
101,04/23/19 03:25:49 AM,11.49,9.40,11.49,99.4,,,
102,04/23/19 03:35:49 AM,11.48,9.40,11.48,99.3,,,
103,04/23/19 03:45:49 AM,11.49,9.40,11.49,99.4,,,
104,04/23/19 03:55:49 AM,11.50,9.40,11.50,99.5,,,
105,04/23/19 04:05:49 AM,11.49,9.40,11.49,99.4,,,
106,04/23/19 04:15:49 AM,11.49,9.38,11.49,99.4,,,
107,04/23/19 04:25:49 AM,11.49,9.38,11.49,99.4,,,
108,04/23/19 04:35:49 AM,11.48,9.38,11.48,99.3,,,
109,04/23/19 04:45:49 AM,11.50,9.38,11.50,99.5,,,
110,04/23/19 04:55:49 AM,11.50,9.36,11.50,99.4,,,
111,04/23/19 05:05:49 AM,11.49,9.36,11.49,99.3,,,
112,04/23/19 05:15:49 AM,11.50,9.36,11.50,99.4,,,
113,04/23/19 05:25:49 AM,11.50,9.36,11.50,99.4,,,
114,04/23/19 05:35:49 AM,11.49,9.36,11.49,99.3,,,
115,04/23/19 05:45:49 AM,11.50,9.34,11.50,99.4,,,
116,04/23/19 05:55:49 AM,11.50,9.34,11.50,99.4,,,
117,04/23/19 06:05:49 AM,11.51,9.34,11.51,99.5,,,
118,04/23/19 06:15:49 AM,11.50,9.34,11.50,99.4,,,
119,04/23/19 06:25:49 AM,11.51,9.34,11.51,99.5,,,
120,04/23/19 06:35:49 AM,11.50,9.34,11.50,99.4,,,
121,04/23/19 06:45:49 AM,11.50,9.34,11.50,99.4,,,
122,04/23/19 06:55:49 AM,11.51,9.34,11.51,99.5,,,
123,04/23/19 07:05:49 AM,11.50,9.34,11.50,99.4,,,
124,04/23/19 07:15:49 AM,11.50,9.34,11.50,99.4,,,
