"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
84,11/19/18 11:35:49 PM,10.79,11.32,0.00,0.0,,,
85,11/19/18 11:45:49 PM,10.79,11.32,0.00,0.0,,,
86,11/19/18 11:55:49 PM,10.80,11.32,0.00,0.0,,,
87,11/20/18 12:05:49 AM,10.82,11.32,0.00,0.0,,,
88,11/20/18 12:15:49 AM,10.79,11.32,0.00,0.0,,,
89,11/20/18 12:25:49 AM,10.79,11.32,0.00,0.0,,,
90,11/20/18 12:35:49 AM,10.80,11.30,0.00,0.0,,,
91,11/20/18 12:45:49 AM,10.82,11.30,0.00,0.0,,,
92,11/20/18 12:55:49 AM,10.82,11.28,0.00,0.0,,,
93,11/20/18 01:05:49 AM,10.82,11.28,0.00,0.0,,,
94,11/20/18 01:15:49 AM,10.83,11.26,0.00,0.0,,,
95,11/20/18 01:25:49 AM,10.82,11.26,0.00,0.0,,,
96,11/20/18 01:35:49 AM,10.82,11.24,0.00,0.0,,,
97,11/20/18 01:45:49 AM,10.83,11.24,0.00,0.0,,,
98,11/20/18 01:55:49 AM,10.83,11.22,0.00,0.0,,,
99,11/20/18 02:05:49 AM,10.84,11.22,0.00,0.0,,,
100,11/20/18 02:15:49 AM,10.85,11.20,0.00,0.0,,,
101,11/20/18 02:25:49 AM,10.84,11.20,0.00,0.0,,,
102,11/20/18 02:35:49 AM,10.83,11.20,0.00,0.0,,,
103,11/20/18 02:45:49 AM,10.82,11.20,0.00,0.0,,,
104,11/20/18 02:55:49 AM,10.83,11.20,0.00,0.0,,,
105,11/20/18 03:05:49 AM,10.84,11.20,0.00,0.0,,,
106,11/20/18 03:15:49 AM,10.84,11.20,0.00,0.0,,,
107,11/20/18 03:25:49 AM,10.83,11.20,0.00,0.0,,,
108,11/20/18 03:35:49 AM,10.82,11.20,0.00,0.0,,,
109,11/20/18 03:45:49 AM,10.83,11.20,0.00,0.0,,,
110,11/20/18 03:55:49 AM,10.83,11.20,0.00,0.0,,,
111,11/20/18 04:05:49 AM,10.80,11.20,0.00,0.0,,,
112,11/20/18 04:15:49 AM,10.80,11.20,0.00,0.0,,,
113,11/20/18 04:25:49 AM,10.82,11.20,0.00,0.0,,,
114,11/20/18 04:35:49 AM,10.82,11.20,0.00,0.0,,,
115,11/20/18 04:45:49 AM,10.80,11.20,0.00,0.0,,,
116,11/20/18 04:55:49 AM,10.80,11.20,0.00,0.0,,,
117,11/20/18 05:05:49 AM,10.82,11.20,0.00,0.0,,,
118,11/20/18 05:15:49 AM,10.83,11.18,0.00,0.0,,,
119,11/20/18 05:25:49 AM,10.82,11.18,0.00,0.0,,,
120,11/20/18 05:35:49 AM,10.82,11.18,0.00,0.0,,,
121,11/20/18 05:45:49 AM,10.82,11.18,0.00,0.0,,,
122,11/20/18 05:55:49 AM,10.80,11.18,0.00,0.0,,,
123,11/20/18 06:05:49 AM,10.79,11.18,0.00,0.0,,,
124,11/20/18 06:15:49 AM,10.80,11.18,0.00,0.0,,,
125,11/20/18 06:25:49 AM,10.82,11.18,0.00,0.0,,,
126,11/20/18 06:35:49 AM,10.80,11.18,0.00,0.0,,,
127,11/20/18 06:45:49 AM,10.79,11.18,0.00,0.0,,,
128,11/20/18 06:55:49 AM,10.82,11.18,0.00,0.0,,,
129,11/20/18 07:05:49 AM,10.80,11.18,0.00,0.0,,,
130,11/20/18 07:15:49 AM,10.80,11.18,0.00,0.0,,,
131,11/20/18 07:25:49 AM,10.82,11.18,0.00,0.0,,,
132,11/20/18 07:35:49 AM,10.82,11.16,0.00,0.0,,,
133,11/20/18 07:45:49 AM,10.84,11.16,0.00,0.0,,,
134,11/20/18 07:55:49 AM,10.84,11.16,0.00,0.0,,,
135,11/20/18 08:05:49 AM,10.84,11.14,0.00,0.0,,,
136,11/20/18 08:15:49 AM,10.83,11.14,0.00,0.0,,,
137,11/20/18 08:25:49 AM,10.85,11.14,0.00,0.0,,,
138,11/20/18 08:35:49 AM,10.86,11.12,0.00,0.0,,,
139,11/20/18 08:45:49 AM,10.86,11.12,0.00,0.0,,,
140,11/20/18 08:55:49 AM,10.87,11.12,0.00,0.0,,,
141,11/20/18 09:05:49 AM,10.87,11.12,0.00,0.0,,,
142,11/20/18 09:15:49 AM,10.88,11.12,0.00,0.0,,,
143,11/20/18 09:25:49 AM,10.87,11.12,0.00,0.0,,,
144,11/20/18 09:35:49 AM,10.88,11.12,0.00,0.0,,,
145,11/20/18 09:45:49 AM,10.87,11.14,0.00,0.0,,,
146,11/20/18 09:55:49 AM,10.88,11.14,0.00,0.0,,,
147,11/20/18 10:05:49 AM,10.89,11.14,0.00,0.0,,,
148,11/20/18 10:15:49 AM,10.88,11.14,0.00,0.0,,,
149,11/20/18 10:25:49 AM,10.89,11.16,0.00,0.0,,,
150,11/20/18 10:35:49 AM,10.88,11.16,0.00,0.0,,,
151,11/20/18 10:45:49 AM,10.89,11.18,0.00,0.0,,,
152,11/20/18 10:55:49 AM,10.89,11.18,0.00,0.0,,,
153,11/20/18 11:05:49 AM,10.88,11.20,0.00,0.0,,,
154,11/20/18 11:15:49 AM,10.86,11.22,0.00,0.0,,,
155,11/20/18 11:25:49 AM,10.87,11.24,0.00,0.0,,,
