dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,Juvenile,Tank,5,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.549272259,7.553840146,0,0.02,0.1,0.63,0.49,0.12,0.737704918,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.730389892,-0.02
21,Juvenile,Tank,5,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.545750207,7.550370905,-0.04,-0.01,0.07,0.54,0.42,0.09,0.732142857,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.724797452,-0.02
10,Juvenile,Tank,4,,,11:00 AM,8-Mar-19,25,29.5,0.00095,6.819627992,6.851323793,-0.04,-0.02,0.07,0.66,0.09,0.07,0.157142857,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.146656855,0
6,Juvenile,Tank,1,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.529426641,7.534297528,-0.07,-0.04,0.04,0.51,0.37,0.04,0.706896552,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.699413253,0
7,Juvenile,Tank,2,,,11:00 AM,8-Mar-19,25,29.5,0.00095,6.968558113,6.990786841,-0.03,0,0.09,0.73,0.17,0.1,0.213333333,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.203154238,-0.01
8,Juvenile,Tank,6,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.023760489,7.04318625,0.03,0.04,0.12,0.8,0.27,0.18,0.23943662,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.229400098,-0.06
11,Juvenile,Tank,3,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.54063499,7.545333123,-0.05,-0.02,0.06,0.54,0.41,0.07,0.724137931,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.716748803,-0.01
15,Juvenile,Tank,2,,,11:00 AM,8-Mar-19,25,29.5,0.00095,6.891248644,6.918012925,-0.01,0.01,0.09,0.64,0.12,0.08,0.181818182,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.171466954,0.01
16,Juvenile,Tank,4,,,11:00 AM,8-Mar-19,25,29.5,0.00095,6.805655588,6.838404565,-0.02,0.01,0.1,0.71,0.13,0.11,0.152777778,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.142267934,-0.01
17,Juvenile,Tank,3,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.55432885,7.558821629,-0.01,0,0.08,0.58,0.44,0.08,0.745762712,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.738491697,0
20,Juvenile,Tank,1,,,11:00 AM,8-Mar-19,25,29.5,0.00095,7.546506248,7.551115575,-0.03,-0.02,0.07,0.56,0.41,0.06,0.733333333,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.72599443,0.01
19,Juvenile,Tank,6,,,11:00 AM,8-Mar-19,25,29.5,0.00095,6.965820659,6.988197348,-0.03,-0.02,0.06,0.63,0.12,0.06,0.212121212,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.201935497,0
