dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,Juvenile,Tank,1,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.518273794,7.523320876,-0.06,-0.03,0.06,0.64,0.45,0.05,0.690140845,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.682566028,0.01
2,Juvenile,Tank,1,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.517946568,7.522998885,-0.05,-0.01,0.08,0.53,0.39,0.08,0.689655172,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.682077703,0
6,Juvenile,Tank,2,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.029663789,7.048809311,-0.02,0,0.09,0.64,0.16,0.09,0.242424242,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.232404039,0
8,Juvenile,Tank,2,,,11:00 AM,20-Mar-19,25,29.5,0.00095,6.998884881,7.01953206,-0.07,-0.05,0.04,0.61,0.12,0.06,0.227272727,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.217169768,-0.02
10,Juvenile,Tank,3,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.505985257,7.511231568,-0.05,-0.02,0.07,0.58,0.41,0.09,0.672131148,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.664457964,-0.02
11,Juvenile,Tank,3,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.508975579,7.514172909,-0.05,-0.02,0.07,0.65,0.46,0.09,0.676470588,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.668821106,-0.02
14,Juvenile,Tank,4,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.000093355,7.020679651,-0.03,0,0.09,0.76,0.18,0.09,0.227848101,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.217748285,0
15,Juvenile,Tank,4,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.002326937,7.022801127,-0.02,-0.01,0.08,0.82,0.19,0.09,0.228915663,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.218821677,-0.01
16,Juvenile,Tank,5,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.535649058,7.540423512,-0.01,0,0.09,0.66,0.48,0.09,0.71641791,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.708986617,0
17,Juvenile,Tank,5,,,11:00 AM,20-Mar-19,25,29.5,0.00095,7.505808151,7.511057373,-0.07,-0.05,0.03,0.59,0.4,0.05,0.671875,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.664200417,-0.02
19,Juvenile,Tank,6,,,11:00 AM,20-Mar-19,25,29.5,0.00095,6.91966961,6.944677753,0.01,0.03,0.12,0.86,0.21,0.14,0.192771084,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.18247968,-0.02
20,Juvenile,Tank,6,,,11:00 AM,20-Mar-19,25,29.5,0.00095,6.937476831,6.961438346,-0.04,-0.02,0.07,0.57,0.11,0.08,0.2,8.017169733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.18974808,-0.01
