"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
286,11/28/18 12:45:49 PM,10.87,11.32,0.00,0.0,,,
287,11/28/18 12:55:49 PM,10.87,11.32,0.00,0.0,,,
288,11/28/18 01:05:49 PM,10.87,11.32,0.00,0.0,,,
289,11/28/18 01:15:49 PM,10.86,11.32,0.00,0.0,,,
290,11/28/18 01:25:49 PM,10.86,11.32,0.00,0.0,,,
291,11/28/18 01:35:49 PM,10.86,11.32,0.00,0.0,,,
292,11/28/18 01:45:49 PM,10.86,11.32,0.00,0.0,,,
293,11/28/18 01:55:49 PM,10.86,11.32,0.00,0.0,,,
294,11/28/18 02:05:49 PM,10.86,11.32,0.00,0.0,,,
295,11/28/18 02:15:49 PM,10.86,11.32,0.00,0.0,,,
296,11/28/18 02:25:49 PM,10.86,11.32,0.00,0.0,,,
297,11/28/18 02:35:49 PM,10.86,11.32,0.00,0.0,,,
298,11/28/18 02:45:49 PM,10.86,11.30,0.00,0.0,,,
299,11/28/18 02:55:49 PM,10.87,11.30,0.00,0.0,,,
300,11/28/18 03:05:49 PM,10.88,11.30,0.00,0.0,,,
301,11/28/18 03:15:49 PM,10.88,11.28,0.00,0.0,,,
302,11/28/18 03:25:49 PM,10.89,11.28,0.00,0.0,,,
303,11/28/18 03:35:49 PM,10.89,11.26,0.00,0.0,,,
304,11/28/18 03:45:49 PM,10.89,11.26,0.00,0.0,,,
305,11/28/18 03:55:49 PM,10.89,11.26,0.00,0.0,,,
306,11/28/18 04:05:49 PM,10.90,11.24,0.00,0.0,,,
307,11/28/18 04:15:49 PM,10.91,11.24,0.00,0.0,,,
308,11/28/18 04:25:49 PM,10.90,11.24,0.00,0.0,,,
309,11/28/18 04:35:49 PM,10.90,11.24,0.00,0.0,,,
310,11/28/18 04:45:49 PM,10.90,11.22,0.00,0.0,,,
311,11/28/18 04:55:49 PM,10.90,11.22,0.00,0.0,,,
312,11/28/18 05:05:49 PM,10.91,11.22,0.00,0.0,,,
313,11/28/18 05:15:49 PM,10.89,11.22,0.00,0.0,,,
314,11/28/18 05:25:49 PM,10.89,11.22,0.00,0.0,,,
315,11/28/18 05:35:49 PM,10.89,11.22,0.00,0.0,,,
316,11/28/18 05:45:49 PM,10.88,11.22,0.00,0.0,,,
317,11/28/18 05:55:49 PM,10.88,11.22,0.00,0.0,,,
318,11/28/18 06:05:49 PM,10.89,11.22,0.00,0.0,,,
319,11/28/18 06:15:49 PM,10.89,11.22,0.00,0.0,,,
320,11/28/18 06:25:49 PM,10.88,11.24,0.00,0.0,,,
321,11/28/18 06:35:49 PM,10.88,11.22,0.00,0.0,,,
322,11/28/18 06:45:49 PM,10.88,11.22,0.00,0.0,,,
323,11/28/18 06:55:49 PM,10.88,11.22,0.00,0.0,,,
324,11/28/18 07:05:49 PM,10.88,11.22,0.00,0.0,,,
325,11/28/18 07:15:49 PM,10.87,11.22,0.00,0.0,,,
326,11/28/18 07:25:49 PM,10.88,11.22,0.00,0.0,,,
327,11/28/18 07:35:49 PM,10.87,11.22,0.00,0.0,,,
328,11/28/18 07:45:49 PM,10.87,11.22,0.00,0.0,,,
329,11/28/18 07:55:49 PM,10.87,11.22,0.00,0.0,,,
330,11/28/18 08:05:49 PM,10.87,11.22,0.00,0.0,,,
331,11/28/18 08:15:49 PM,10.88,11.22,0.00,0.0,,,
332,11/28/18 08:25:49 PM,10.87,11.22,0.00,0.0,,,
333,11/28/18 08:35:49 PM,10.87,11.22,0.00,0.0,,,
334,11/28/18 08:45:49 PM,10.87,11.20,0.00,0.0,,,
335,11/28/18 08:55:49 PM,10.88,11.20,0.00,0.0,,,
336,11/28/18 09:05:49 PM,10.87,11.20,0.00,0.0,,,
337,11/28/18 09:15:49 PM,10.87,11.20,0.00,0.0,,,
338,11/28/18 09:25:49 PM,10.87,11.20,0.00,0.0,,,
339,11/28/18 09:35:49 PM,10.87,11.20,0.00,0.0,,,
