"","treatment","sensortype","sd","mean","median","IQR","n","se","ci"
"1","ambient","OceanOptics",0.183936918759735,7.70296101245924,7.73434983831301,0.0888265285951553,190,0.0133441866078602,0.026154605751406
"2","ambient","UDA2182",2.07512790547102,8.25596730245232,7.81,0.24,554,0.0881637365801267,0.172800923697048
"3","highCO2","OceanOptics",0.0998739011454781,7.16770906567459,7.17073601752999,0.100935996104674,191,0.00722662186003537,0.0141641788456693
"4","highCO2","UDA2182",0.246926715223177,7.20954271961492,7.21,0.04,831,0.00856579284648763,0.0167889539791158
